name,state,lat,lng,sector_label
Atlantic Institute of Oriental Medicine,Florida,26.121964,-80.142235,Private
Atlantic University College,Puerto Rico,18.357395,-66.111714,Private
Atlantis University,Florida,25.788978,-80.18942,For-Profit
Auburn University,Alabama,32.599378,-85.488258,Public
Auburn University at Montgomery,Alabama,32.36736,-86.177544,Public
Augsburg University,Minnesota,44.966307,-93.240436,Private
Augusta University,Georgia,33.47037,-81.989071,Public
Augustana College,Illinois,41.502365,-90.55057,Private
Augustana University,South Dakota,43.525148,-96.736975,Private
Aultman College of Nursing and Health Sciences,Ohio,40.796186,-81.404053,Private
Aurora University,Illinois,41.753631,-88.349023,Private
Austin College,Texas,33.646345,-96.596331,Private
Austin Community College District,Texas,30.322744,-97.712505,Public
Austin Graduate School of Theology,Texas,30.343842,-97.711751,Private
Austin Peay State University,Tennessee,36.533319,-87.354081,Public
Austin Presbyterian Theological Seminary,Texas,30.29201,-97.736958,Private
Ave Maria School of Law,Florida,26.242138,-81.731358,Private
Ave Maria University,Florida,26.335983,-81.438945,Private
Averett University,Virginia,36.577287,-79.413203,Private
Averett University-Non-Traditional Programs,Virginia,36.577287,-79.413203,Private
Avila University,Missouri,38.91339,-94.591758,Private
Azusa Pacific University,California,34.130047,-117.888375,Private
Babson College,Massachusetts,42.297017,-71.264057,Private
Bacone College,Oklahoma,35.777082,-95.334046,Private
Bais Binyomin Academy,New York,41.123013,-74.078802,Private
Bais HaMedrash and Mesivta of Baltimore,Maryland,39.379528,-76.674414,Private
Bais Medrash Elyon,New York,41.114079,-74.069798,Private
Bais Medrash Mayan Hatorah,New Jersey,40.107414,-74.204332,Private
Bais Medrash Toras Chesed,New Jersey,40.099704,-74.21127,Private
Baker College,Michigan,42.984804,-84.172404,Private
Baker University,Kansas,38.777278,-95.188231,Private
Bakersfield College,California,35.40911,-118.973753,Public
Bakke Graduate University,Texas,32.894605,-96.753976,Private
Baldwin Wallace University,Ohio,41.373017,-81.851145,Private
Ball State University,Indiana,40.203431,-85.409043,Public
Bank Street College of Education,New York,40.805604,-73.966643,Private
Baptist Bible College,Missouri,37.239696,-93.284286,Private
Baptist Health System School of Health Professions,Texas,29.517063,-98.567486,For-Profit
Baptist Memorial College of Health Sciences,Tennessee,35.138415,-90.027501,Private
Baptist Missionary Association Theological Seminary,Texas,31.978961,-95.255524,Private
Baptist Theological Seminary at Richmond,Virginia,37.632354,-77.468483,Private
Baptist University of the Americas,Texas,29.34998,-98.546081,Private
Barclay College,Kansas,37.62012,-99.105351,Private
Bard College,New York,42.020386,-73.909927,Private
Bard College at Simon's Rock,Massachusetts,42.208803,-73.379201,Private
Barnard College,New York,40.810098000000004,-73.963346,Private
Barnes-Jewish College Goldfarb School of Nursing,Missouri,38.637165,-90.258772,Private
Barry University,Florida,25.878908,-80.198925,Private
Barton College,North Carolina,35.734376,-77.913867,Private
Bastyr University,Washington,47.729935,-122.251708,Private
Bates College,Maine,44.105299,-70.203333,Private
Bay Mills Community College,Michigan,46.454584,-84.607089,Public
Bay Path University,Massachusetts,42.055088,-72.583382,Private
Bay State College,Massachusetts,42.350966,-71.071615,For-Profit
Baylor College of Medicine,Texas,29.7106,-95.395743,Private
Baylor University,Texas,31.546872,-97.121041,Private
Be'er Yaakov Talmudic Seminary,New York,41.13905,-74.028425,Private
Beacon College,Florida,28.811281,-81.87415,Private
Beal College,Maine,44.786465,-68.785428,For-Profit
Becker College,Massachusetts,42.269171,-71.811894,Private
Beckfield College-Florence,Kentucky,39.017166,-84.641475,For-Profit
